Note Name,Parent Node,Category,Connections,Description
NRP Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[NRP]], [[Neonatal]], [[Resuscitation]]""","""Neonatal Resuscitation Program standards."""
ARDMS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Sonography]], [[ARDMS]], [[Certification]]""","""Diagnostic Medical Sonography training standards."""
ARRT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Radiology]], [[ARRT]], [[Certification]]""","""Radiologic Technology training standards."""
ASCP Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Pathology]], [[Laboratory]], [[ASCP]]""","""Clinical Pathology and Laboratory training standards."""
APTA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Physical Therapy]], [[APTA]], [[Clinical Ed]]""","""Standards for Physical Therapy education."""
AOTA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Occupational Therapy]], [[AOTA]], [[Clinical Ed]]""","""Standards for Occupational Therapy education."""
ASHA Clinical Fellowship Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[ASHA]], [[Speech-Language]], [[Fellowship]]""","""Standards for speech-language clinical fellowships."""
CAHIIM Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Allied Health,"""[[Informatics]], [[CAHIIM]], [[Health Records]]""","""Standards for Health Informatics and Information Management."""
AHRQ TeamSTEPPS,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[AHRQ]], [[TeamSTEPPS]], [[Communication]]""","""Team strategies and tools to enhance performance and patient safety."""
IHI Open School Curriculum,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[IHI]], [[Safety Curriculum]], [[Patient Care]]""","""Standards for patient safety and quality improvement education."""
WHO Patient Safety Curriculum Guide,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[WHO]], [[Safety Curriculum]], [[International]]""","""International curriculum standards for patient safety."""
QSEN Competencies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[QSEN]], [[Nursing]], [[Competency]]""","""Quality and Safety Education for Nurses competency standards."""
Just Culture Principles,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[Just Culture]], [[Patient Safety]], [[Culture]]""","""Standards for incident reporting and safety culture from Outcome Engenuity."""
CRM Standards (Healthcare),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Patient Safety,"""[[CRM]], [[Team Coordination]], [[Aviation Adaptation]]""","""Crew Resource Management standards adapted for healthcare teams."""
ACPE Accreditation Standards (Pharmacy),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Pharmacy,"""[[ACPE]], [[Pharmacy Ed]], [[Accreditation]]""","""Standards for the accreditation of professional pharmacy education."""
NAPLEX Blueprint,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Pharmacy,"""[[NAPLEX]], [[Pharmacy Licensure]], [[Blueprint]]""","""Blueprint for national pharmacy licensure examinations."""
ASHP Residency Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Pharmacy,"""[[ASHP]], [[Pharmacy Residency]], [[Clinical Training]]""","""Standards for pharmacy residency training programs."""
NREMT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,EMS,"""[[NREMT]], [[EMT]], [[EMS Certification]]""","""Training and certification standards for Emergency Medical Technicians."""
NAEMSP Model EMS Curriculum,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,EMS,"""[[EMS]], [[Curriculum]], [[Paramedic]]""","""National standards for EMS and paramedic education."""
CoAEMSP Accreditation Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,EMS,"""[[CoAEMSP]], [[EMS Accreditation]], [[Quality]]""","""Standards for the accreditation of EMS educational programs."""
Boeing Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[Boeing]], [[Manufacturer]], [[Aviation Training]]""","""Manufacturer-specific training standards for Boeing aircraft."""
Airbus Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[Airbus]], [[Manufacturer]], [[Aviation Training]]""","""Manufacturer-specific training standards for Airbus aircraft."""
FlightSafety International Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[FlightSafety]], [[Aviation Training]], [[SME Standards]]""","""Leading SME standards for global aviation training."""
CAE Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[CAE]], [[Simulation]], [[Aviation Training]]""","""Standards for high-fidelity aviation simulation and training."""
CRM/TEM Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[CRM]], [[TEM]], [[Threat Management]]""","""Standards for Crew Resource Management and Threat and Error Management."""
LOFT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[LOFT]], [[Flight Training]], [[Simulation]]""","""Standards for Line Oriented Flight Training in simulations."""
AQP Standards (Aviation),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[AQP]], [[FAA]], [[Performance Testing]]""","""Advanced Qualification Program standards for performance-based testing."""
EBT Standards (Aviation),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[EBT]], [[ICAO]], [[Evidence-Based]]""","""Standards for Evidence-Based Training in aviation."""
MPL Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[MPL]], [[Pilot License]], [[Multi-crew]]""","""International standards for Multi-crew Pilot Licenses."""
UPRT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Aviation (Addl),"""[[UPRT]], [[Upset Recovery]], [[Pilot Training]]""","""Standards for Upset Prevention and Recovery Training."""
STCW Convention,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[STCW]], [[IMO]], [[International]]""","""Standards of Training, Certification, and Watchkeeping for seafarers."""
IMO Model Courses,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[IMO]], [[International]], [[Curriculum]]""","""International curriculum models for maritime training."""
MNTB Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[MNTB]], [[UK]], [[Maritime Training]]""","""UK maritime and coastguard training standards often referenced in US."""
OCIMF Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[OCIMF]], [[Oil]], [[Tanker Training]]""","""Training standards from the Oil Companies International Marine Forum."""
SIGTTO Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[SIGTTO]], [[Gas]], [[Tanker Training]]""","""Standards for training on gas tanker and terminal operations."""
ERRVA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Maritime,"""[[ERRVA]], [[Rescue Vessel]], [[Emergency]]""","""Emergency Response and Rescue Vessel Association standards."""
INPO Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Nuclear Energy,"""[[INPO]], [[ACAD]], [[Nuclear Operations]]""","""Standards and ACAD series from the Institute of Nuclear Power Operations."""
WANO Performance Objectives,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Nuclear Energy,"""[[WANO]], [[Nuclear Operations]], [[Excellence]]""","""Performance objectives from the World Association of Nuclear Operators."""
ANS Standards (Nuclear),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Nuclear Energy,"""[[ANS]], [[Nuclear Physics]], [[Training Standards]]""","""American Nuclear Society training and development standards."""
EPRI Nuclear Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Nuclear Energy,"""[[EPRI]], [[Nuclear Research]], [[Maintenance]]""","""Standards for nuclear technical and maintenance training."""
SAT Process (Nuclear),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Nuclear Energy,"""[[SAT]], [[Instructional Design]], [[Nuclear Standard]]""","""Systematic Approach to Training, the industry standard for nuclear ISD."""
IOGP Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Oil & Gas,"""[[IOGP]], [[Energy]], [[Safety Training]]""","""International Oil and Gas Producers training and safety standards."""
API Recommended Practices (Training),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Oil & Gas,"""[[API]], [[Energy]], [[Best Practice]]""","""Recommended practices for technical training in the petroleum industry."""
OPITO Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Oil & Gas,"""[[OPITO]], [[Offshore]], [[Safety]]""","""Standards from the Offshore Petroleum Industry Training Organization."""
IADC Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Oil & Gas,"""[[IADC]], [[Drilling]], [[Well Control]]""","""Standards from the International Association of Drilling Contractors."""
IWCF Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Oil & Gas,"""[[IWCF]], [[Well Control]], [[International]]""","""International Well Control Forum standards for oil and gas."""
GWO Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Energy,"""[[GWO]], [[Wind Energy]], [[Safety]]""","""Global Wind Organisation standards for offshore wind training."""
NERC Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Electric Power,"""[[NERC]], [[Grid Reliability]], [[Operator Training]]""","""Reliability and training standards for North American electric power."""
NECA/IBEW Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Electric Power,"""[[NECA]], [[IBEW]], [[Electrical Apprenticeship]]""","""Joint standards for electrical worker training and apprenticeships."""
NJATC Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Electric Power,"""[[NJATC]], [[Electrical]], [[Apprenticeship]]""","""National Joint Apprenticeship and Training Committee electrical standards."""
ASQ Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[ASQ]], [[Quality]], [[Certification]]""","""Standards for quality training and certification from American Society for Quality."""
Lean Enterprise Institute Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[Lean]], [[Process Improvement]], [[LEI]]""","""Standards and frameworks for Lean transformation training."""
Shingo Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[Shingo]], [[Operational Excellence]], [[Culture]]""","""Standards for operational excellence and quality culture training."""
Toyota Production System (TPS) Training,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[TPS]], [[Toyota]], [[Lean Training]]""","""Manufacturer-developed standards for TPS implementation training."""
World Class Manufacturing (WCM) Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[WCM]], [[Operational Excellence]], [[Quality]]""","""Global standards for world-class manufacturing performance training."""
AME Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[AME]], [[Manufacturing]], [[Excellence]]""","""Association for Manufacturing Excellence training frameworks."""
SME Standards (Manufacturing),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[SME]], [[Manufacturing]], [[Technical Skills]]""","""Society of Manufacturing Engineers technical skill standards."""
AWS Standards (Welding),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[AWS]], [[Welding]], [[Certification]]""","""American Welding Society training and certification standards."""
ASNT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[ASNT]], [[NDT]], [[Testing Personnel]]""","""Non-Destructive Testing personnel qualification and certification."""
CWI Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing (Addl),"""[[CWI]], [[Welding Inspector]], [[Certification]]""","""Certified Welding Inspector training and examination standards."""
OSHA Outreach Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[OSHA 10]], [[OSHA 30]], [[Safety]]""","""Standards for 10-hour and 30-hour safety outreach programs."""
AGC Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[AGC]], [[Construction]], [[Management Training]]""","""Associated General Contractors management and safety training."""
IADC WellSharp,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[WellSharp]], [[Drilling]], [[Well Control]]""","""Rig-specific well control training standards."""
IRATA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[IRATA]], [[Rope Access]], [[Safety]]""","""International standards for industrial rope access training."""
SPRAT Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[SPRAT]], [[Rope Access]], [[Safety]]""","""Society of Professional Rope Access Technicians standards."""
Scaffold Training Institute Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[Scaffold]], [[Safety]], [[SME Standards]]""","""Industry-leading standards for scaffold building and safety training."""
NHI Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[NHI]], [[Highway]], [[DOT Training]]""","""National Highway Institute technical training standards."""
APWA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[APWA]], [[Public Works]], [[Infrastructure]]""","""American Public Works Association training standards."""
NASSCO Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Construction,"""[[NASSCO]], [[Pipeline]], [[Certification]]""","""Standards for pipeline assessment and certification."""
SANS GIAC Certification Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cybersecurity,"""[[SANS]], [[GIAC]], [[Cyber Training]]""","""Standards for technical cybersecurity training and certification."""
Offensive Security Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cybersecurity,"""[[OSCP]], [[OSCE]], [[Pentesting]]""","""Standards for offensive security and pentesting training."""
CREST Certifications,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cybersecurity,"""[[CREST]], [[International]], [[Cybersecurity]]""","""International cybersecurity accreditation and training standards."""
Cyber Ranges Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cybersecurity,"""[[Cyber Range]], [[Simulation]], [[Cyber Training]]""","""Frameworks for technical cybersecurity simulation environments."""
CTF Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cybersecurity,"""[[CTF]], [[Capture The Flag]], [[Competition]]""","""Competition-based learning standards for cybersecurity."""
AWS Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[AWS]], [[Cloud]], [[Certification]]""","""Manufacturer-specific standards for Amazon Web Services training."""
Azure Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[Azure]], [[Microsoft]], [[Cloud Training]]""","""Manufacturer-specific standards for Microsoft Azure training."""
Google Cloud Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[GCP]], [[Google Cloud]], [[Cloud Training]]""","""Manufacturer-specific standards for Google Cloud training."""
Kubernetes Certification Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[Kubernetes]], [[Cloud Native]], [[Certification]]""","""Training standards for container orchestration."""
Docker Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[Docker]], [[Containers]], [[IT Training]]""","""Training standards for container technology."""
Jenkins Certification Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[Jenkins]], [[CI/CD]], [[DevOps]]""","""Training standards for continuous integration systems."""
Terraform Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cloud & DevOps,"""[[Terraform]], [[IaC]], [[Infrastructure]]""","""Training standards for infrastructure-as-code."""
DAMA-DMBOK,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data & Analytics,"""[[DAMA]], [[Data Management]], [[DMBOK]]""","""Data Management Body of Knowledge training standards."""
EDW Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data & Analytics,"""[[EDW]], [[Data Warehouse]], [[IT Training]]""","""Standards for Enterprise Data Warehouse training."""
Cloudera Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data & Analytics,"""[[Cloudera]], [[Big Data]], [[Hadoop]]""","""Manufacturer standards for big data and Hadoop training."""
Databricks Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Data & Analytics,"""[[Databricks]], [[Spark]], [[Data Science]]""","""Manufacturer standards for Spark and data lakehouse training."""
